clean_name,cluster,xgbprob,xgbverdict,lmscore
DRIP_ML_Li_S9.6_SRX2642938,1,0.9798110127449036,1,106.06342453109991
DRIP_STR_Li_S9.6_SRX2642939,1,0.9798110127449036,1,108.97068296320418
DRIP_BE_Li_S9.6_SRX2642940,1,0.9798110127449036,1,103.68859479778169
DRIP_LP_Li_S9.6_SRX2642941,1,0.9798110127449036,1,115.7292678399859
DRIP_ML_Li_S9.6_SRX2642942,1,0.9798110127449036,1,114.7828987857582
DRIP_STR_Li_S9.6_SRX2642943,1,0.9384905695915222,1,99.00798438558388
DRIP_BE_Li_S9.6_SRX2642944,1,0.9384905695915222,1,107.83168154404628
DRIP_LP_Li_S9.6_SRX2642945,1,0.9384905695915222,1,113.36616387044845
DRIP_ML_Li_S9.6_SRX2642946,1,0.9384905695915222,1,108.05085230799638
DRIP_STR_Li_S9.6_SRX2642947,1,0.7462734580039978,1,93.58235318946521
DRIP_BE_Li_S9.6_SRX2642948,1,0.9384905695915222,1,93.43152780235783
DRIP_LP_Li_S9.6_SRX2642949,1,0.9384905695915222,1,112.15401658793934
DRIP_ML_Li_S9.6_SRX2642950,1,0.9384905695915222,1,108.04858296068834
DRIP_STR_Li_S9.6_SRX2642951,1,0.9384905695915222,1,89.22434944937419
DRIP_BE_Li_S9.6_SRX2642952,1,0.9798110127449036,1,109.95980579604921
DRIP_LP_Li_S9.6_SRX2642953,1,0.9798110127449036,1,117.84173364974725
DRIP_ML_Li_S9.6_SRX2642954,1,0.9798110127449036,1,118.00624102607371
DRIP_STR_Li_S9.6_SRX2642955,1,0.9798110127449036,1,93.20956313611224
DRIP_BE_Li_S9.6_SRX2642956,1,0.9384905695915222,1,86.14488769421278
DRIP_LP_Li_S9.6_SRX2642957,1,0.9798110127449036,1,100.62112044763371
DRIP_ML_Li_S9.6_SRX2642958,1,0.9798110127449036,1,103.87655409581811
DRIP_STR_Li_S9.6_SRX2642959,1,0.9798110127449036,1,88.90756068229251
DRIP_BE_Li_S9.6_SRX2642960,1,0.9798110127449036,1,83.79608442386358
DRIP_LP_Li_S9.6_SRX2642961,1,0.9798110127449036,1,110.80747155542139
DRIP_BL_Li_S9.6_SRX2642962,1,0.9798110127449036,1,110.04858284919703
DRIP_STR_Li_S9.6_SRX2642963,1,0.9384905695915222,1,92.26616831260569
DRIP_BE_Li_S9.6_SRX2642964,1,0.9798110127449036,1,99.74698643715918
DRIP_LP_Li_S9.6_SRX2642965,1,0.9798110127449036,1,116.38419525859214
DRIP_ML_Li_S9.6_SRX2642966,1,0.9798110127449036,1,114.22849935668143
DRIP_LP_Li_S9.6_SRX2642969,1,0.9384905695915222,1,87.2376351031298
DRIP_ML_Li_S9.6_SRX2642970,1,0.9384905695915222,1,89.30166768259274
DRIP_U2OS_Bushell_S9.6_SRX2733011,0,0.029942603781819344,0,6.850231483271127
DRIP_U2OS_Bushell_S9.6_SRX2733012,0,0.029942603781819344,0,8.86782474622281
DRIP_U2OS_Bushell_S9.6_SRX2733013,0,0.029942603781819344,0,4.818814785820661
DRIP_U2OS_Bushell_S9.6_SRX2733014,0,0.029942603781819344,0,3.711045787563233
DRIP_HeLa_Cimprich_S9.6_SRX2918366,0,0.029942603781819344,0,37.5551290288731
DRIP_HEK293T_Chedin_S9.6_SRX3084730,1,0.9798110127449036,1,96.94318281229508
DRIP_HEK293T_Chedin_S9.6_SRX3084731,1,0.9798110127449036,1,98.37312235934368
DRIP_HEK293T_Chedin_S9.6_SRX3084732,1,0.9798110127449036,1,98.99464607285948
DRIP_HEK293T_Chedin_S9.6_SRX3084733,1,0.9798110127449036,1,99.10685718665304
DRIPc_HEK293T_Chedin_S9.6_SRX3084734,1,0.9798110127449036,1,92.18237259259257
DRIPc_HEK293T_Chedin_S9.6_SRX3084735,1,0.9798110127449036,1,80.15016082636849
DRIPc_HEK293T_Chedin_S9.6_SRX3084736,1,0.9798110127449036,1,76.9743653880649
DRIPc_HEK293T_Chedin_S9.6_SRX3084737,1,0.9798110127449036,1,89.5392912249723
DRIP_HeLa_Chedin_S9.6_SRX3581338,1,0.9798110127449036,1,95.89091992513663
DRIP_HeLa_Chedin_S9.6_SRX3581339,1,0.9798110127449036,1,92.20558972171744
DRIP_HeLa_Chedin_S9.6_SRX3581340,1,0.9798110127449036,1,93.35046831683668
DRIP_HeLa_Chedin_S9.6_SRX3581342,1,0.9798110127449036,1,111.72475714410464
DRIP_HeLa_Chedin_S9.6_SRX3581344,1,0.9798110127449036,1,111.38177744637372
